list_name,name,label,link_group,link_maingroup,usercountry,curr_sdate,curr_fdate,curr_detail_link,,,,,,,,,,,
hazardsubsubtypes,MH0019,Sand haze,hazhmlitho,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0020,Smoke,hazhmlitho,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0021,Ocean Acidification,hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0022,Rogue Wave,hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0023,Sea Water Intrusion,hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0024,Sea Ice (Icebergs),hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0025,Ice Flow,hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0026,Seiche,hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0027,Storm Surge,hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0028,Storm Tides,hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0029,Tsunami,hazhmmarine,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0030,Depression or Cyclone (Low Pressure Area),hazhmpress,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0031,Extra-tropical Cyclone,hazhmpress,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0032,Sub-Tropical Cyclone,hazhmpress,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0033,Acid Rain,hazhmprecip,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0034,Blizzard,hazhmprecip,haztypehydromet,,,,,,,,,,,,,,,
hazardsubsubtypes,MH0035,Drought,hazhmprecip,haztypehydromet,,,,,,,,,,,,,,,
